,taxi_zone,total_total,total_public_transpo,bus,streetcar,subway,total_car_van_truck,car_vt_alone,car_vt_carpooled,bicycle,walked,railroad,ferry,taxi,motorcycle,worked_at_home,other_means
0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.0,13605,5930,1492,41,4197,6450,5476,974,5,683,200,0,86,0,370,81
2,4.0,12434,7039,1723,0,5259,856,717,139,688,3292,57,0,201,28,314,16
3,5.0,12027,2674,2080,16,212,8914,7589,1325,0,37,37,329,15,0,349,38
4,6.0,6960,2336,1811,0,292,4023,3528,495,31,228,86,147,19,0,323,0
5,7.0,43899,32417,1299,33,30689,6319,5291,1028,657,2781,396,0,206,43,1364,112
6,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,9.0,9852,3434,843,12,1876,5796,4676,1120,32,223,703,0,6,0,325,36
8,10.0,16540,7996,3684,14,3968,7563,6688,875,46,505,330,0,133,0,244,53
9,11.0,14208,8414,1726,0,6576,4696,3653,1043,71,666,112,0,20,4,228,109
10,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13.0,9497,4979,212,0,4513,785,631,154,230,2804,155,99,182,0,434,83
12,14.0,38603,21025,3736,64,16916,12114,9775,2339,189,3658,309,0,95,15,1345,162
13,15.0,9945,2601,1221,0,660,6660,6284,376,26,186,720,0,17,0,421,34
14,16.0,21546,6298,1545,0,2266,13712,11584,2128,12,623,2481,6,47,5,658,191
15,17.0,29503,18382,2570,80,15447,4430,3505,925,1173,4187,272,13,57,44,1069,161
16,18.0,21959,15176,3765,73,10816,3754,2889,865,0,2173,522,0,105,16,590,145
17,19.0,12296,3101,1207,0,1558,8479,7622,857,20,297,336,0,25,0,360,14
18,20.0,9942,5381,2062,17,3051,1592,1223,369,134,1968,251,0,82,0,648,137
19,21.0,28305,17279,2757,77,14150,7677,5900,1777,271,2148,274,21,76,24,618,212
20,22.0,39900,24355,3577,82,20302,10659,7906,2753,277,3378,375,19,162,14,866,189
21,23.0,18324,4726,4331,0,134,12593,10946,1647,23,332,58,203,6,17,544,83
22,24.0,8331,6151,696,0,5355,552,489,63,105,1083,100,0,84,38,318,0
23,25.0,12782,9218,223,6,8835,947,761,186,361,1146,154,0,29,12,1029,40
24,26.0,35534,13155,3085,23,9810,10027,7090,2937,496,9805,237,0,116,0,1718,217
25,27.0,1618,239,67,0,162,1315,1192,123,8,37,0,10,0,0,19,0
26,28.0,19602,11595,1911,38,9288,6337,5481,856,16,1148,358,0,90,0,333,83
27,29.0,13498,6993,1531,14,5306,4067,3283,784,50,1877,142,0,89,0,336,86
28,30.0,917,257,73,0,164,632,554,78,4,10,20,0,0,0,6,8
29,31.0,656,349,82,0,258,239,202,37,0,34,9,0,34,0,0,0
30,32.0,14776,8844,2701,35,5895,4066,3687,379,33,1393,213,0,137,0,251,52
31,33.0,13467,9461,147,7,9203,859,645,214,349,1337,96,8,163,16,1222,60
32,34.0,274,126,10,0,116,46,46,0,22,11,0,0,0,0,69,0
33,35.0,19581,13888,2870,47,10732,3790,3165,625,83,1291,239,0,99,0,367,63
34,36.0,29704,21477,1110,72,20127,3358,2677,681,847,2836,168,0,199,22,829,136
35,37.0,33342,23858,2672,161,20784,4699,4073,626,973,2334,241,0,134,57,1175,112
36,38.0,9324,3405,1696,0,1427,5571,4888,683,15,94,269,13,6,0,190,43
37,39.0,41108,22179,7025,74,14568,16575,14144,2431,95,1263,512,0,238,7,623,128
38,40.0,10238,7198,46,0,7047,911,769,142,261,937,105,0,84,38,757,52
39,41.0,22414,16949,1559,17,15090,1695,1470,225,239,1643,283,0,122,70,1651,45
40,42.0,34915,25093,3675,234,20579,3785,2836,949,282,3109,573,32,366,69,1854,357
41,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,44.0,10880,2332,1776,0,201,8146,7427,719,0,56,210,145,0,0,288,58
43,45.0,8259,3909,516,0,3250,946,542,404,167,2944,143,0,70,0,165,58
44,46.0,2120,303,76,0,227,1486,1353,133,0,189,0,0,0,15,97,30
45,47.0,9560,6677,3106,11,3325,1889,1425,464,5,668,235,0,74,0,238,9
46,48.0,21887,10437,1050,123,9015,923,758,165,386,7900,236,13,375,0,1666,200
47,49.0,19957,13413,946,0,12175,2318,1976,342,1032,1525,292,0,81,50,1446,92
48,50.0,7456,3346,574,0,2686,499,463,36,208,2685,86,0,275,0,248,195
49,51.0,20163,11314,5644,0,5399,7016,6122,894,0,1278,271,0,47,0,369,139
50,52.0,5936,3862,14,0,3816,485,402,83,186,846,28,4,61,0,456,40
51,53.0,11425,4464,2038,25,2359,5781,4360,1421,34,653,42,0,22,0,434,37
52,54.0,2311,1433,40,0,1359,326,244,82,70,245,34,0,19,12,193,13
53,55.0,16084,8879,2379,43,6265,4913,3990,923,91,1660,192,0,44,0,398,99
54,56.0,24317,15004,3743,206,10827,5989,4572,1417,295,2289,228,0,173,6,427,134
55,57.0,1928,1533,333,10,1190,290,145,145,41,64,0,0,0,0,0,0
56,58.0,3890,1098,359,0,688,2440,2148,292,9,213,51,0,31,0,99,0
57,59.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,60.0,7473,5242,1562,53,3433,1429,1254,175,0,558,194,0,44,0,181,19
59,61.0,46904,33534,4072,162,28742,7355,6168,1187,962,2588,543,15,277,55,1866,267
60,62.0,17948,11545,1525,0,9701,2996,2666,330,148,2404,296,23,45,38,728,44
61,63.0,19563,13256,1099,46,11798,4760,3976,784,79,836,313,0,16,0,429,187
62,64.0,12434,3060,671,0,926,8302,7207,1095,8,386,1463,0,80,0,566,32
63,65.0,5128,3583,85,0,3412,457,385,72,94,635,81,5,29,0,330,0
64,66.0,3832,2597,167,0,2175,447,358,89,115,259,140,115,58,0,324,32
65,67.0,20141,10170,1767,31,8179,7509,5858,1651,150,1615,175,18,89,22,471,115
66,68.0,18536,8894,655,49,7584,1022,842,180,636,5859,606,0,608,0,1265,252
67,69.0,22960,15552,3867,31,10810,3788,2899,889,99,2034,844,0,111,10,1053,313
68,70.0,10182,5641,2653,11,2943,3257,2359,898,172,765,34,0,57,0,220,70
69,71.0,24044,15322,4142,77,10777,7179,6238,941,78,911,326,0,109,0,393,52
70,72.0,24434,15438,4545,189,10440,6831,5812,1019,80,1186,264,0,192,17,610,80
71,73.0,12025,4701,1628,19,2812,5694,3931,1763,30,1019,242,0,130,7,364,80
72,74.0,23131,17474,2287,31,14828,2009,1622,387,286,2485,328,0,102,0,695,80
73,75.0,25224,17357,3118,84,13902,1745,1527,218,439,4206,253,0,246,0,1109,122
74,76.0,34118,23148,2954,95,19516,8391,7033,1358,33,1514,583,0,112,0,721,199
75,77.0,10725,7554,1617,35,5510,2294,2007,287,0,584,365,27,42,9,153,89
