,taxi_zone,total_count,2500,7500,12500,17500,22500,30000,42500,62500,87500,125000,225000
0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.0,18922,791,1136,2045,890,1308,1867,2117,2960,1851,2336,1621
2,4.0,19981,1403,1677,2318,1300,1277,1649,2068,2787,1360,2391,1751
3,5.0,9048,200,161,303,216,219,517,1016,1563,963,1809,2081
4,6.0,25623,1293,836,1183,1051,982,1753,2252,3066,3036,3874,6297
5,7.0,150900,5560,6148,7198,6415,5057,9139,12866,18294,15610,22284,42329
6,8.0,3402,119,50,107,52,119,109,195,354,284,541,1472
7,9.0,6937,223,104,179,229,221,406,830,1301,830,1358,1256
8,10.0,38965,1947,2024,2703,2294,1836,3660,5375,6150,4327,4795,3854
9,11.0,30977,1423,1401,2286,1743,1545,2811,3904,4738,3846,3866,3414
10,12.0,1373,9,53,83,117,65,141,288,334,96,127,60
11,13.0,7336,133,165,85,97,0,115,305,488,535,1081,4332
12,14.0,158818,6336,4817,7562,5987,6068,10943,14059,20899,17395,25480,39272
13,15.0,9887,328,164,439,368,323,509,947,1484,1620,1594,2111
14,16.0,15707,332,218,482,500,548,1006,1560,2558,2217,2974,3312
15,17.0,98141,4204,6094,8295,6573,5298,10091,12421,16257,10005,10499,8404
16,18.0,28839,1393,2302,2561,1916,1613,3353,4151,5103,2923,2400,1124
17,19.0,8235,309,158,309,216,249,365,812,1299,1138,1589,1791
18,20.0,15539,1117,1331,1478,1416,890,1764,2217,2219,927,1392,788
19,21.0,43145,1489,1882,2553,2058,2111,4228,5650,7748,4970,6246,4210
20,22.0,69349,2639,3403,4840,3751,3719,6551,9423,11056,7767,9129,7071
21,23.0,20061,661,781,1086,853,806,1109,1606,2883,1775,3791,4710
22,24.0,16058,1091,1037,1544,652,823,1742,1573,2102,1352,1659,2483
23,25.0,43677,1862,2505,2500,2094,1873,3208,3756,5231,4122,5592,10934
24,26.0,97626,4157,5405,7959,6282,5948,10013,12277,15290,9718,11257,9320
25,27.0,2395,199,115,157,94,96,126,289,315,202,357,445
26,28.0,37496,1302,1848,2811,2299,2409,3720,4396,6614,4004,4606,3487
27,29.0,17092,620,1402,2422,872,1010,1509,1801,2643,1317,1630,1866
28,30.0,806,6,20,7,14,24,31,102,130,138,167,167
29,31.0,260,0,15,27,23,4,17,28,73,36,32,5
30,32.0,21546,1041,1499,2416,1449,1207,1993,2683,3558,2182,2191,1327
31,33.0,26013,1209,504,655,761,495,939,1584,2234,2504,4867,10261
32,34.0,150,0,0,0,5,0,13,5,4,34,27,62
33,35.0,24637,3516,3055,2654,1689,1362,2200,2909,2779,1575,1537,1361
34,36.0,27955,1320,1459,1912,1826,1982,2514,3771,4826,2754,3489,2102
35,37.0,64163,3536,4950,5629,4633,3434,7022,8558,10716,6154,5956,3575
36,38.0,17915,508,557,979,726,660,1527,1791,2942,2162,3199,2864
37,39.0,33448,1416,1083,1804,1411,1520,2555,4099,5383,4816,5571,3790
38,40.0,33359,1240,1497,1598,1324,943,2379,2964,3388,2921,5316,9789
39,41.0,37781,1949,1889,3106,1987,1666,3435,4687,5547,3818,4662,5035
40,42.0,71331,3179,4169,6428,5147,4424,6850,8340,11876,6879,8083,5956
41,43.0,3590,69,237,213,198,142,158,446,638,356,553,580
42,44.0,12770,548,331,682,515,566,625,1244,1911,1527,2337,2484
43,45.0,19294,1226,1652,2606,2078,1134,2208,2222,2042,1710,1408,1008
44,46.0,2434,31,49,78,81,125,211,222,328,388,437,484
45,47.0,38879,1825,2277,2472,1627,1540,2715,3132,4707,3428,5088,10068
46,48.0,30312,1167,1008,1360,1082,1340,2510,2040,3382,3308,5047,8068
47,49.0,57225,3228,3030,4113,2872,2630,4788,5696,8326,5918,6952,9672
48,50.0,11538,505,594,566,480,528,769,903,1098,988,1705,3402
49,51.0,22801,866,639,1568,1132,899,2856,3637,4323,2874,2666,1341
50,52.0,15360,596,581,533,475,597,791,1267,1674,1651,2165,5030
51,53.0,7778,265,176,186,302,566,833,1069,1529,1004,1182,666
52,54.0,8582,385,602,610,628,330,752,862,1143,787,828,1655
53,55.0,35250,1518,2770,4625,2080,2319,3377,4520,5006,3279,3624,2132
54,56.0,28746,1000,1930,1810,1762,1371,3276,4195,5082,3726,3177,1417
55,57.0,2307,97,168,195,131,40,274,284,494,271,242,111
56,58.0,3050,32,69,130,76,158,156,200,464,477,672,616
57,59.0,6797,344,287,424,310,370,344,420,524,736,963,2075
58,60.0,39707,1690,1747,1718,1388,1105,2234,2924,4072,3757,5805,13267
59,61.0,84402,5491,5375,6223,5083,4857,8119,10150,12759,8954,10063,7328
60,62.0,20236,936,722,1152,1318,827,1675,2816,3800,2449,2813,1728
61,63.0,14481,1340,664,669,749,817,1411,1818,3074,1632,1440,867
62,64.0,9783,271,149,179,340,215,880,834,1671,1213,1992,2039
63,65.0,8512,378,217,402,216,210,255,580,827,720,1776,2931
64,66.0,9835,545,528,802,593,427,535,652,724,617,865,3547
65,67.0,78569,2876,3468,4433,3964,3520,5852,7664,13069,8732,11256,13735
66,68.0,28436,1331,1527,1352,1482,1054,2059,2898,4041,2806,4239,5647
67,69.0,53412,2089,3332,3941,2993,2635,4459,5584,8143,4602,5594,10040
68,70.0,24340,1837,2045,2181,1584,1854,2731,3139,3687,2318,2011,953
69,71.0,22870,794,613,1061,1130,1074,2272,3576,4071,3020,3412,1847
70,72.0,27696,1329,1210,1654,1460,1567,2601,3514,4552,3546,3540,2723
71,73.0,8231,331,272,586,454,498,867,1264,1044,974,1212,729
72,74.0,45560,2620,3729,4020,3119,2553,4464,5187,6957,4444,4623,3844
73,75.0,37697,1873,2215,3342,2230,1884,3228,4284,5338,3996,4640,4667
74,76.0,33393,3822,2311,2543,2099,2024,3506,4450,4677,3246,2953,1762
75,77.0,10270,1633,1008,821,635,448,983,1175,1498,835,778,456
76,78.0,32517,2403,3016,3252,2598,2372,3905,4400,4436,2657,2391,1087
77,79.0,34303,2262,1526,1695,1458,1754,2875,3381,4636,3319,5351,6046
78,80.0,20953,754,1148,1486,1198,1066,1668,2130,2831,2488,3047,3137
79,81.0,23553,678,882,1655,1368,1255,2722,2573,4000,2604,3078,2738
80,82.0,34880,1601,1283,1835,2050,1989,3917,4694,6529,3592,4323,3067
81,83.0,20221,848,992,1774,1316,1022,1756,2338,3416,2065,2476,2218
82,84.0,15357,416,332,647,494,528,926,1406,2279,1754,2931,3644
83,85.0,12627,731,541,708,604,517,1425,1793,2132,1693,1587,896
84,86.0,16904,1183,1212,1342,995,801,1426,2114,2878,1782,1857,1314
85,87.0,14509,819,317,427,323,224,446,779,1243,1135,2939,5857
86,88.0,3450,130,43,17,79,50,71,270,308,359,532,1591
87,89.0,58895,2097,2536,3860,3097,2893,6634,7781,11077,6935,6816,5169
88,90.0,19327,1089,915,1042,669,723,1125,1573,2194,1247,2665,6085
89,91.0,26762,746,560,906,818,898,1665,3282,4578,4192,5042,4075
90,92.0,26279,1494,1819,2167,1732,2072,3268,3674,4033,2312,1994,1714
91,93.0,1937,263,251,150,189,136,342,233,202,71,15,85
92,94.0,11032,970,1212,1179,1104,662,1277,1435,1235,948,658,352
93,95.0,39394,1245,1421,1969,1705,1549,2708,3288,6098,5349,6673,7389
94,96.0,1618,22,39,62,75,66,162,122,175,230,342,323
95,97.0,51742,2420,2127,2882,2220,1702,4129,4902,6326,5363,6454,13217
96,98.0,6683,278,143,189,277,202,520,742,1209,926,1102,1095
97,99.0,5872,247,221,527,441,392,683,608,877,671,710,495
98,100.0,1948,33,22,23,51,78,136,181,447,283,410,284
99,101.0,8945,119,126,328,221,278,666,790,1521,1256,1867,1773
100,102.0,13936,377,290,533,432,521,1008,1326,2515,2255,2703,1976
101,103.0,5992,218,108,31,285,163,177,243,529,784,1097,2357
102,105.0,0,0,0,0,0,0,0,0,0,0,0,0
103,106.0,17572,709,880,998,756,817,1431,1923,1928,1902,2601,3627
104,107.0,24571,992,609,971,960,840,1616,2189,3230,2483,4012,6669
105,108.0,18407,827,739,1626,1111,1042,1756,2059,2771,2013,2542,1921
106,109.0,17876,327,292,528,432,586,1200,1315,2530,2438,3996,4232
107,110.0,8370,95,164,183,224,331,316,731,1335,1175,1420,2396
108,111.0,7294,127,408,495,241,213,664,652,993,452,699,2350
109,112.0,24000,982,762,838,1102,1157,1654,2280,4076,3106,4476,3567
110,113.0,25612,809,694,1145,1129,909,1536,2724,3463,2409,4040,6754
111,114.0,10626,361,474,323,401,163,691,910,912,803,1589,3999
112,115.0,28268,1571,1401,1097,911,1284,2261,2515,3449,2520,3557,7702
113,116.0,31627,1547,2273,1972,1732,1583,3676,3596,5510,3406,3318,3014
114,117.0,16105,871,1015,1147,961,1008,1421,2138,2445,1926,1857,1316
115,118.0,33033,862,1115,1666,1503,1315,2491,3550,4827,4129,5155,6420
116,119.0,42240,2808,3313,4106,2573,2332,3865,4478,5732,4032,4259,4742
117,120.0,1157,63,37,114,43,121,89,107,188,184,98,113
118,121.0,12076,601,598,677,635,715,1435,1327,1895,1158,1576,1459
119,122.0,17367,488,753,639,858,830,1371,1849,2967,2384,2732,2496
120,123.0,28445,1159,1358,2084,1370,1720,2726,3609,4514,3132,3998,2775
121,124.0,13857,988,451,813,752,448,950,1725,2081,1830,1869,1950
122,125.0,2127,34,54,51,43,49,49,147,174,190,381,955
123,126.0,33371,1738,1969,1857,2002,1434,2097,3260,4016,3280,4063,7655
124,127.0,31036,1593,1913,2550,1408,1790,3164,3512,4508,3937,3880,2781
125,128.0,3941,108,95,222,140,170,285,399,584,519,739,680
126,129.0,100058,4293,4751,6047,5586,5411,9896,12721,18568,11977,12216,8592
127,130.0,42636,1519,1741,3626,2467,2344,4596,5836,7934,4257,4855,3461
128,131.0,16313,492,645,749,866,1039,1660,2407,2769,1645,1811,2230
129,132.0,0,0,0,0,0,0,0,0,0,0,0,0
130,133.0,17634,384,554,1003,777,953,1553,2094,3097,2532,2660,2027
131,134.0,50558,1505,1104,1927,1694,1622,3058,3896,6758,6122,9096,13776
132,135.0,13133,302,299,688,500,655,1182,1518,2157,1832,2248,1752
133,136.0,44360,2024,2997,4372,3217,2607,4469,5475,7638,4170,4396,2995
134,137.0,22577,1241,734,1379,808,923,2177,2072,3300,1944,3471,4528
135,138.0,1510,95,73,78,137,68,147,258,292,98,159,105
136,139.0,17251,414,399,760,666,499,1309,1758,2833,2380,3405,2828
137,140.0,21426,588,648,480,515,498,911,1631,3498,2527,3767,6363
138,141.0,33819,971,590,1160,1370,1167,2143,2459,3809,4049,5245,10856
139,142.0,33629,1179,1440,1268,1052,1133,1962,2649,3469,3387,4795,11295
140,143.0,35114,1220,1155,1813,1704,1048,1699,2394,4411,4161,5149,10360
141,144.0,17665,864,1230,1118,1111,834,1004,1616,1911,1528,2328,4121
142,145.0,19602,1118,435,542,644,367,670,1245,1930,1851,3762,7038
143,146.0,15072,558,869,897,590,600,1210,1414,1793,1515,1672,3954
144,147.0,25643,1687,2218,2405,1323,1200,2374,2511,2923,1947,2292,4763
145,148.0,13602,680,844,1141,864,554,1140,1295,1953,1575,1596,1960
146,149.0,20761,570,748,1020,865,949,1774,2383,3469,2600,3336,3047
147,150.0,6489,190,143,252,237,163,464,588,1069,685,1272,1426
148,151.0,26033,1497,1667,1759,1524,906,2023,1891,3755,2310,2994,5707
149,152.0,10346,839,1012,1150,531,484,1150,1299,1284,907,1032,658
150,153.0,5805,422,283,301,655,386,545,838,726,540,536,573
151,154.0,1723,10,25,20,34,9,77,161,228,164,553,442
152,155.0,21033,316,386,710,598,663,1674,1807,3022,3028,4441,4388
153,156.0,24220,2139,1586,1718,1140,1041,2013,2595,3463,3028,3283,2214
154,157.0,23813,782,654,1552,1095,1333,1886,2437,3505,2671,3678,4220
155,158.0,23146,936,1142,1797,1112,834,2104,1878,2810,2234,2694,5605
156,159.0,61359,2547,2817,3441,2461,2144,4904,5252,6747,6122,8012,16912
157,160.0,17225,646,499,699,907,627,1421,1737,2664,2251,3101,2673
158,161.0,11286,308,312,640,647,670,1120,1446,2057,1414,1529,1143
159,162.0,9151,307,396,545,511,460,647,943,1420,1173,952,1797
160,163.0,10116,337,192,427,280,249,698,826,1004,1267,1783,3053
161,164.0,13321,553,581,743,675,780,1168,1507,1565,1584,1634,2531
162,165.0,25860,1027,1358,2218,1244,1480,2556,2973,3810,2484,3407,3303
163,166.0,21709,1507,1057,1446,1391,860,1653,2261,3052,2102,2700,3680
164,167.0,49284,2084,2573,2894,2650,2230,3642,4322,6159,4682,6554,11494
165,168.0,55741,3120,4619,5115,3703,2990,4315,5508,5836,4343,5627,10565
166,169.0,36962,2195,2793,3899,2499,2367,3879,4838,5496,3509,3409,2078
167,170.0,22157,971,588,1269,902,794,1367,1781,2962,2010,3700,5813
168,171.0,17653,801,677,825,1270,1147,1751,2074,2705,2249,2124,2030
169,172.0,23844,828,517,951,966,786,1622,2182,2992,3387,3559,6054
170,173.0,29192,1482,1362,2126,1767,2183,2991,4244,4902,3371,3060,1704
171,174.0,21503,1081,1625,1920,1934,1337,2570,2664,3758,1887,1788,939
172,175.0,11169,292,279,297,342,519,821,1268,2084,1241,2113,1913
173,176.0,18894,470,368,748,702,717,1180,1049,2641,2269,4057,4693
174,177.0,29423,2423,2481,2730,2026,2107,3185,3729,4582,2660,2192,1308
175,178.0,17656,774,665,1287,799,936,1571,2208,2880,2158,2269,2109
176,179.0,53025,2679,2693,3351,2162,1956,4300,4637,6316,4626,6595,13710
177,180.0,28647,937,798,1314,982,1115,1772,2604,4122,3028,4395,7580
178,181.0,113219,4024,4589,5145,4607,4086,6515,8104,12603,11298,16752,35496
179,182.0,19909,737,649,1497,1206,1001,1952,2793,4177,2094,2607,1196
180,183.0,7860,216,202,841,334,316,1083,817,1353,1120,1000,578
181,184.0,1594,51,65,118,50,109,201,123,237,315,90,235
182,185.0,23311,1122,821,1508,1159,1140,2397,2956,3749,2781,2992,2686
183,186.0,5503,184,258,162,162,135,402,491,775,556,917,1461
184,187.0,22281,1238,1155,1504,1176,828,2353,2943,2937,2616,2824,2707
185,188.0,28606,1452,1488,1718,1558,1376,3144,3988,4934,3367,3173,2408
186,189.0,26257,1600,1240,1391,1161,931,1697,2214,2874,2692,3822,6635
187,190.0,6951,156,168,337,226,417,558,800,483,819,1069,1918
188,191.0,38359,1150,1437,2186,1408,1930,3229,4519,6071,5053,6354,5022
189,192.0,5968,196,181,239,361,319,547,735,1234,569,846,741
190,193.0,28950,1961,2819,3250,2052,1655,2521,2891,3151,1806,2363,4481
191,194.0,4577,206,234,416,177,451,742,552,781,405,312,301
192,195.0,16630,1097,1396,1406,778,808,1618,1815,2040,1261,1940,2471
193,196.0,12262,602,387,511,695,633,946,1519,1952,1435,2000,1582
194,197.0,93620,3215,3402,3842,3449,3822,5617,8847,14156,9898,13804,23568
195,198.0,41835,2032,1360,2077,1902,1676,3364,4798,6379,5344,6836,6067
196,199.0,5992,218,108,31,285,163,177,243,529,784,1097,2357
197,200.0,27960,1521,1151,1335,1847,1388,2269,3392,4137,3432,3853,3635
198,201.0,11967,446,475,548,459,582,930,1085,2062,1672,1632,2076
199,202.0,4820,234,97,215,33,145,332,204,658,640,896,1366
200,203.0,10193,147,204,227,203,304,753,815,1499,1717,2288,2036
201,204.0,7586,149,76,220,234,420,334,487,943,1073,1764,1886
202,205.0,42598,1536,1490,2382,1983,1705,3806,4851,7385,5024,7009,5427
203,206.0,48680,2702,1842,1977,1894,1595,2673,4179,5635,4328,7830,14025
204,207.0,2465,311,328,270,147,189,352,264,209,183,166,46
205,208.0,83881,3204,4050,4564,3845,3735,6021,7415,12236,9092,13165,16554
206,209.0,3739,83,198,248,196,229,238,192,300,329,513,1213
207,210.0,25941,852,1134,1881,1093,1287,2490,2648,3921,3070,4334,3231
208,211.0,8170,238,412,308,273,255,543,658,1139,769,1198,2377
209,212.0,44948,2047,1629,2282,1852,1799,3483,4415,5574,4588,7188,10091
210,213.0,58432,3060,3067,4653,3203,3314,5191,6409,8341,5546,7154,8494
211,214.0,16956,677,462,684,517,754,1644,1469,2626,1583,2909,3631
212,215.0,41271,1727,2110,2965,2610,2366,3559,5364,6809,4692,5021,4048
213,216.0,79331,2802,2895,4723,4346,3439,7147,9549,11870,9867,10688,12005
214,217.0,11342,478,757,1401,1081,847,1392,1331,1567,1005,858,625
215,218.0,14969,461,567,1135,855,762,1462,2262,2888,1639,2048,890
216,219.0,7777,124,99,283,152,295,517,771,1374,1366,1517,1279
217,220.0,45008,1623,1764,2664,1941,1944,3368,5170,8407,6060,7016,5051
218,221.0,29803,1263,1695,2445,1893,1425,2591,2792,3484,2954,3511,5750
219,222.0,6485,298,459,1455,494,508,577,1086,1056,279,220,53
220,223.0,64980,2583,2705,3022,2316,2636,4752,6202,8440,6898,10795,14631
221,224.0,14333,584,505,671,387,507,684,1453,1406,1620,2712,3804
222,225.0,100180,4222,5038,6528,5833,5326,9867,12851,17569,12211,12405,8330
223,226.0,77034,3713,3311,4640,3799,2816,6026,7360,11088,8724,10388,15169
224,227.0,71514,2123,1866,3449,3411,2986,5042,6797,11037,7855,10025,16923
225,228.0,72462,3443,3218,4522,3132,3093,5523,6805,9530,7717,10185,15294
226,229.0,22278,624,379,668,1084,595,972,1878,2977,1943,2968,8190
227,230.0,13946,822,887,887,716,671,1129,1474,1575,1375,1675,2735
228,231.0,24239,806,893,892,607,899,1622,1764,2605,2236,2942,8973
229,232.0,23135,1193,2375,3078,1449,1650,2003,2464,2901,1472,2305,2245
230,233.0,14658,489,244,421,358,365,852,1167,2095,1684,2626,4357
231,234.0,18652,849,724,1051,831,771,1191,1411,2331,1770,2537,5186
232,235.0,46582,2311,3666,4524,3114,2014,4544,6106,7097,4693,4533,3980
233,236.0,23206,590,265,435,453,547,1128,1290,2275,2255,3392,10576
234,237.0,20706,792,692,752,539,717,1219,1654,2732,2152,2362,7095
235,238.0,43242,1394,1531,2636,1669,1488,2983,3920,5068,4062,5841,12650
236,239.0,41811,1666,1405,1810,1390,1182,2164,2702,4567,3985,6261,14679
237,240.0,1538,86,58,105,69,62,126,270,218,166,236,142
238,241.0,47700,2146,2455,2872,3352,2676,4864,6575,8703,5717,5017,3323
239,242.0,46903,1818,2273,4235,2880,3557,4972,6219,7854,4666,5070,3359
240,243.0,79745,3381,3919,5014,4570,3968,7831,10422,14840,9252,9714,6834
241,244.0,78681,3642,5126,6760,5300,4084,8084,10149,13012,8230,8201,6093
242,245.0,35361,1371,1180,1851,1355,1579,2613,3116,4304,3591,5181,9220
243,246.0,9164,315,272,263,250,329,486,748,978,904,1581,3038
244,247.0,29591,1596,1786,2318,1922,1393,2788,2966,3913,2247,3493,5169
245,248.0,35559,1970,1789,2467,2022,1680,3256,3579,4621,3272,4357,6546
246,249.0,30727,1272,1231,1361,1053,1185,2275,2526,3386,3233,4221,8984
247,250.0,30117,1149,1123,1899,1751,1176,2138,2733,5032,3099,4178,5839
248,251.0,28596,1184,1200,1841,1554,1117,1603,2410,3696,3779,3907,6305
249,252.0,11275,136,116,430,398,490,610,1048,1842,1530,2411,2264
250,253.0,1539,43,251,198,122,100,164,151,247,169,32,62
251,254.0,43029,2299,2081,3048,2461,2483,4319,5464,7174,4631,5429,3640
252,255.0,15197,635,267,681,351,519,843,1204,1766,1851,2599,4481
253,256.0,19549,1043,688,1208,722,797,1666,2494,2773,2445,2813,2900
254,257.0,23137,771,547,879,899,635,1184,1778,3003,2767,4130,6544
255,258.0,74861,3918,4307,5616,4386,3803,6370,7895,10539,7986,10558,9483
256,259.0,29056,1080,1193,2128,1394,1267,2321,3964,4969,3814,3908,3018
257,260.0,80409,3352,4583,5980,4443,3714,7928,10290,13055,9472,9871,7721
258,261.0,3487,71,28,88,32,39,41,152,367,256,903,1510
259,262.0,23650,733,721,705,697,600,1002,2034,2911,2570,4182,7495
260,263.0,33964,656,603,1042,890,1175,1451,2006,5049,4255,6637,10200
