index_right,OBJECTID,zone,tractid,bcode,tractnum
1968,2.0,Jamaica Bay,36081107202,36081,107202
222,3.0,Allerton/Pelham Gardens,36005031000,36005,031000
224,3.0,Allerton/Pelham Gardens,36005031400,36005,031400
226,3.0,Allerton/Pelham Gardens,36005031800,36005,031800
225,3.0,Allerton/Pelham Gardens,36005031600,36005,031600
223,3.0,Allerton/Pelham Gardens,36005031200,36005,031200
251,3.0,Allerton/Pelham Gardens,36005036000,36005,036000
246,3.0,Allerton/Pelham Gardens,36005035000,36005,035000
245,3.0,Allerton/Pelham Gardens,36005034800,36005,034800
230,3.0,Allerton/Pelham Gardens,36005032600,36005,032600
243,3.0,Allerton/Pelham Gardens,36005034400,36005,034400
241,3.0,Allerton/Pelham Gardens,36005034200,36005,034200
1118,4.0,Alphabet City,36061002000,36061,002000
1124,4.0,Alphabet City,36061002601,36061,002601
1122,4.0,Alphabet City,36061002400,36061,002400
1125,4.0,Alphabet City,36061002602,36061,002602
1127,4.0,Alphabet City,36061002800,36061,002800
1121,4.0,Alphabet City,36061002202,36061,002202
2121,5.0,Arden Heights,36085017009,36085,017009
2122,5.0,Arden Heights,36085017010,36085,017010
2120,5.0,Arden Heights,36085017008,36085,017008
2119,5.0,Arden Heights,36085017007,36085,017007
2064,6.0,Arrochar/Fort Wadsworth,36085001800,36085,001800
2066,6.0,Arrochar/Fort Wadsworth,36085002002,36085,002002
2075,6.0,Arrochar/Fort Wadsworth,36085005000,36085,005000
2080,6.0,Arrochar/Fort Wadsworth,36085007400,36085,007400
2077,6.0,Arrochar/Fort Wadsworth,36085006400,36085,006400
1512,7.0,Astoria,36081016100,36081,016100
1508,7.0,Astoria,36081015700,36081,015700
1511,7.0,Astoria,36081015900,36081,015900
1513,7.0,Astoria,36081016300,36081,016300
1428,7.0,Astoria,36081005700,36081,005700
1504,7.0,Astoria,36081015300,36081,015300
1506,7.0,Astoria,36081015500,36081,015500
1430,7.0,Astoria,36081005900,36081,005900
1502,7.0,Astoria,36081015100,36081,015100
1425,7.0,Astoria,36081005300,36081,005300
1421,7.0,Astoria,36081004700,36081,004700
1500,7.0,Astoria,36081014900,36081,014900
1431,7.0,Astoria,36081006100,36081,006100
1498,7.0,Astoria,36081014700,36081,014700
1420,7.0,Astoria,36081004500,36081,004500
1497,7.0,Astoria,36081014500,36081,014500
1440,7.0,Astoria,36081007500,36081,007500
1434,7.0,Astoria,36081006300,36081,006300
1495,7.0,Astoria,36081014300,36081,014300
1436,7.0,Astoria,36081006502,36081,006502
1441,7.0,Astoria,36081007700,36081,007700
1492,7.0,Astoria,36081014100,36081,014100
1435,7.0,Astoria,36081006501,36081,006501
1455,8.0,Astoria Park,36081009900,36081,009900
2029,9.0,Auburndale,36081141700,36081,141700
2028,9.0,Auburndale,36081140902,36081,140902
2030,9.0,Auburndale,36081142900,36081,142900
2036,9.0,Auburndale,36081145900,36081,145900
2034,9.0,Auburndale,36081145101,36081,145101
1989,9.0,Auburndale,36081118100,36081,118100
1977,9.0,Auburndale,36081113900,36081,113900
1890,10.0,Baisley Park,36081079200,36081,079200
