index_right,OBJECTID,zone,tractid,tractnum
1968,2.0,Jamaica Bay,36081107202,107202
222,3.0,Allerton/Pelham Gardens,36005031000,031000
224,3.0,Allerton/Pelham Gardens,36005031400,031400
226,3.0,Allerton/Pelham Gardens,36005031800,031800
225,3.0,Allerton/Pelham Gardens,36005031600,031600
223,3.0,Allerton/Pelham Gardens,36005031200,031200
251,3.0,Allerton/Pelham Gardens,36005036000,036000
246,3.0,Allerton/Pelham Gardens,36005035000,035000
245,3.0,Allerton/Pelham Gardens,36005034800,034800
230,3.0,Allerton/Pelham Gardens,36005032600,032600
243,3.0,Allerton/Pelham Gardens,36005034400,034400
241,3.0,Allerton/Pelham Gardens,36005034200,034200
1118,4.0,Alphabet City,36061002000,002000
1124,4.0,Alphabet City,36061002601,002601
1122,4.0,Alphabet City,36061002400,002400
1125,4.0,Alphabet City,36061002602,002602
1127,4.0,Alphabet City,36061002800,002800
1121,4.0,Alphabet City,36061002202,002202
2121,5.0,Arden Heights,36085017009,017009
2122,5.0,Arden Heights,36085017010,017010
2120,5.0,Arden Heights,36085017008,017008
2119,5.0,Arden Heights,36085017007,017007
2064,6.0,Arrochar/Fort Wadsworth,36085001800,001800
2066,6.0,Arrochar/Fort Wadsworth,36085002002,002002
2075,6.0,Arrochar/Fort Wadsworth,36085005000,005000
2080,6.0,Arrochar/Fort Wadsworth,36085007400,007400
2077,6.0,Arrochar/Fort Wadsworth,36085006400,006400
1512,7.0,Astoria,36081016100,016100
1508,7.0,Astoria,36081015700,015700
1511,7.0,Astoria,36081015900,015900
1513,7.0,Astoria,36081016300,016300
1428,7.0,Astoria,36081005700,005700
1504,7.0,Astoria,36081015300,015300
1506,7.0,Astoria,36081015500,015500
1430,7.0,Astoria,36081005900,005900
1502,7.0,Astoria,36081015100,015100
1425,7.0,Astoria,36081005300,005300
1421,7.0,Astoria,36081004700,004700
1500,7.0,Astoria,36081014900,014900
1431,7.0,Astoria,36081006100,006100
1498,7.0,Astoria,36081014700,014700
1420,7.0,Astoria,36081004500,004500
1497,7.0,Astoria,36081014500,014500
1440,7.0,Astoria,36081007500,007500
1434,7.0,Astoria,36081006300,006300
1495,7.0,Astoria,36081014300,014300
1436,7.0,Astoria,36081006502,006502
1441,7.0,Astoria,36081007700,007700
1492,7.0,Astoria,36081014100,014100
1435,7.0,Astoria,36081006501,006501
1455,8.0,Astoria Park,36081009900,009900
2029,9.0,Auburndale,36081141700,141700
2028,9.0,Auburndale,36081140902,140902
2030,9.0,Auburndale,36081142900,142900
2036,9.0,Auburndale,36081145900,145900
2034,9.0,Auburndale,36081145101,145101
1989,9.0,Auburndale,36081118100,118100
1977,9.0,Auburndale,36081113900,113900
1890,10.0,Baisley Park,36081079200,079200
1888,10.0,Baisley Park,36081078800,078800
1889,10.0,Baisley Park,36081079000,079000
1530,10.0,Baisley Park,36081018401,018401
1528,10.0,Baisley Park,36081018200,018200
1531,10.0,Baisley Park,36081018402,018402
1602,10.0,Baisley Park,36081028800,028800
1534,10.0,Baisley Park,36081018600,018600
1536,10.0,Baisley Park,36081018800,018800
1599,10.0,Baisley Park,36081028400,028400
1587,10.0,Baisley Park,36081027200,027200
1539,10.0,Baisley Park,36081019200,019200
1589,10.0,Baisley Park,36081027400,027400
1538,10.0,Baisley Park,36081019000,019000
1593,10.0,Baisley Park,36081027800,027800
1591,10.0,Baisley Park,36081027600,027600
583,11.0,Bath Beach,36047029200,029200
577,11.0,Bath Beach,36047028600,028600
572,11.0,Bath Beach,36047028200,028200
570,11.0,Bath Beach,36047028000,028000
471,11.0,Bath Beach,36047017600,017600
469,11.0,Bath Beach,36047017400,017400
464,11.0,Bath Beach,36047016800,016800
473,11.0,Bath Beach,36047017800,017800
475,11.0,Bath Beach,36047018000,018000
468,11.0,Bath Beach,36047017200,017200
466,11.0,Bath Beach,36047017000,017000
1387,12.0,Battery Park,36061031900,031900
1386,13.0,Battery Park City,36061031704,031704
1385,13.0,Battery Park City,36061031703,031703
362,14.0,Bay Ridge,36047003800,003800
425,14.0,Bay Ridge,36047012600,012600
360,14.0,Bay Ridge,36047003600,003600
388,14.0,Bay Ridge,36047006800,006800
358,14.0,Bay Ridge,36047003400,003400
390,14.0,Bay Ridge,36047007000,007000
355,14.0,Bay Ridge,36047003000,003000
460,14.0,Bay Ridge,36047016400,016400
378,14.0,Bay Ridge,36047005602,005602
458,14.0,Bay Ridge,36047016200,016200
377,14.0,Bay Ridge,36047005601,005601
376,14.0,Bay Ridge,36047005400,005400
456,14.0,Bay Ridge,36047016000,016000
379,14.0,Bay Ridge,36047005800,005800
374,14.0,Bay Ridge,36047005202,005202
373,14.0,Bay Ridge,36047005201,005201
381,14.0,Bay Ridge,36047006000,006000
442,14.0,Bay Ridge,36047014200,014200
371,14.0,Bay Ridge,36047005000,005000
438,14.0,Bay Ridge,36047013800,013800
382,14.0,Bay Ridge,36047006200,006200
368,14.0,Bay Ridge,36047004600,004600
436,14.0,Bay Ridge,36047013600,013600
384,14.0,Bay Ridge,36047006400,006400
434,14.0,Bay Ridge,36047013400,013400
366,14.0,Bay Ridge,36047004400,004400
386,14.0,Bay Ridge,36047006600,006600
430,14.0,Bay Ridge,36047013000,013000
1959,15.0,Bay Terrace/Fort Totten,36081101700,101700
1948,15.0,Bay Terrace/Fort Totten,36081099701,099701
1950,15.0,Bay Terrace/Fort Totten,36081099704,099704
1949,15.0,Bay Terrace/Fort Totten,36081099703,099703
1951,15.0,Bay Terrace/Fort Totten,36081099705,099705
1954,15.0,Bay Terrace/Fort Totten,36081099900,099900
2027,16.0,Bayside,36081140901,140901
2026,16.0,Bayside,36081140300,140300
2025,16.0,Bayside,36081139900,139900
2031,16.0,Bayside,36081143500,143500
2035,16.0,Bayside,36081145102,145102
2032,16.0,Bayside,36081144100,144100
2033,16.0,Bayside,36081144700,144700
2037,16.0,Bayside,36081146300,146300
2038,16.0,Bayside,36081146700,146700
2039,16.0,Bayside,36081147100,147100
1976,16.0,Bayside,36081113300,113300
1975,16.0,Bayside,36081112900,112900
1974,16.0,Bayside,36081112300,112300
1973,16.0,Bayside,36081111300,111300
1972,16.0,Bayside,36081109900,109900
1971,16.0,Bayside,36081109700,109700
1969,16.0,Bayside,36081108500,108500
1970,16.0,Bayside,36081109300,109300
540,17.0,Bedford,36047025100,025100
553,17.0,Bedford,36047026300,026300
524,17.0,Bedford,36047023300,023300
530,17.0,Bedford,36047024100,024100
551,17.0,Bedford,36047026100,026100
542,17.0,Bedford,36047025300,025300
548,17.0,Bedford,36047025901,025901
1096,17.0,Bedford,36047123700,123700
549,17.0,Bedford,36047025902,025902
544,17.0,Bedford,36047025500,025500
546,17.0,Bedford,36047025700,025700
795,17.0,Bedford,36047053100,053100
770,17.0,Bedford,36047050700,050700
559,17.0,Bedford,36047026900,026900
534,17.0,Bedford,36047024500,024500
538,17.0,Bedford,36047024900,024900
557,17.0,Bedford,36047026700,026700
555,17.0,Bedford,36047026500,026500
532,17.0,Bedford,36047024300,024300
166,18.0,Bedford Park,36005023702,023702
290,18.0,Bedford Park,36005039902,039902
289,18.0,Bedford Park,36005039901,039901
291,18.0,Bedford Park,36005040100,040100
297,18.0,Bedford Park,36005040502,040502
296,18.0,Bedford Park,36005040501,040501
292,18.0,Bedford Park,36005040302,040302
300,18.0,Bedford Park,36005040702,040702
306,18.0,Bedford Park,36005041500,041500
304,18.0,Bedford Park,36005041300,041300
303,18.0,Bedford Park,36005041100,041100
2055,19.0,Bellerose,36081162100,162100
2054,19.0,Bellerose,36081161700,161700
2016,19.0,Bellerose,36081130100,130100
2050,19.0,Bellerose,36081157102,157102
2048,19.0,Bellerose,36081156700,156700
2049,19.0,Bellerose,36081157101,157101
283,20.0,Belmont,36005039300,039300
281,20.0,Belmont,36005039100,039100
279,20.0,Belmont,36005038900,038900
277,20.0,Belmont,36005038700,038700
287,20.0,Belmont,36005039700,039700
714,21.0,Bensonhurst East,36047043600,043600
677,21.0,Bensonhurst East,36047040000,040000
